braiantroya11@gmail.com;Braian Troya;Cosquín 45;1997-08-22;(+57) 472 648 42 12;371449635398431
alasiapia@gmail.com;;Montecristo 789;2000-11-20;(+57) 459 342 05 56;371449635398432
agudahyana5@gmail.com;;Oliva 663;1999-08-31;(+57) 517 070 99 65;371449635398433
estelalucero411@gmail.com;Estela Adriana Lucero;;1972-10-28;(+57) 466 568 83 12;371449635398434
milagrosandreacuello@gmail.com;Milagros Andrea Cuello;;2000-01-15;(+57) 464 527 41 12;371449635398435
laug2663@gmail.com;Laura Noemí González;Canals 11;1995-08-22;;371449635398436
caromedina711@hotmail.com;Carolina Medina;Corral de Bustos 20;1997-06-19;;371449635398437
nicolaslavallen16@gmail.com;Nicolas Lavallen;Córdoba capital 7895;1997-05-02;(+57) 468 878 55 36;3
maximilianolizarralde@gmail.com;Maximiliano Jose Lizarralde;Unquillo 125;1983-01-07;(+57) 464 526 22 87;
;Paola Nerina Urquiza;Villa Laboulaye 8963;1977-05-24;(+57) 463 109 31 54;371449635398440
mauriciofernandez907@gmail.com;Mauricio Fernandez;Monte Cristo 7896;2003-06-11;(+57) 464 509 07 22;371449635398441
totorosell10@gmail.com;Augusto Tomás Facundo Rosell;Laboulaye centro 457;2003-05-26;(+57) 467 191 17 65;371449635398442
