;;;; ;
braiantroya11@gmail.com;Braian Troya;Cosquín 45;1997-08-22;(+57) 472 648 42 12;371449635398431
alasiapia@gmail.com;Maria Pía Leonor Alasia Urquiza;Montecristo 789;2000-11-20;(+57) 459 342 05 56;371449635398432
agudahyana5@gmail.com;Dahyana Agú;Oliva 663;1999-08-31;(+57) 517 070 99 65;371449635398433
estelalucero411@gmail.com;Estela Adriana Lucero;Oncativo 12;1972-10-28;(+57) 466 568 83 12;371449635398434
milagrosandreacuello@gmail.com;Milagros Andrea Cuello;Salsipuedes 65;2000-01-15;(+57) 464 527 41 12;371449635398435
laug2663@gmail.com;Laura Noemí González;Canals 11;1995-08-22;(+57) 468 463 18 87;371449635398436
caromedina711@hotmail.com;Carolina Medina;Corral de Bustos 20;1997-06-19;(+57) 462 249 84 96;371449635398437
nicolaslavallen16@gmail.com;Nicolas Lavallen;Córdoba capital 7895;1997-05-02;(+57) 468 878 55 36;371449635398438
maximilianolizarralde@gmail.com;Maximiliano Jose Lizarralde;Unquillo 125;1983-01-07;(+57) 464 526 22 87;371449635398439
paolaurquiza645@gmail.com;Paola Nerina Urquiza;Villa Laboulaye 8963;1977-05-24;(+57) 463 109 31 54;371449635398440
mauriciofernandez907@gmail.com;Mauricio Fernandez;Monte Cristo 7896;2003-06-11;(+57) 464 509 07 22;371449635398441
totorosell10@gmail.com;Augusto Tomás Facundo Rosell;Laboulaye centro 457;2003-05-26;(+57) 467 191 17 65;371449635398442
riosbelen341@gmail.com;María Belén Ríos;Laboulaye este 12;2003-01-08;(+57) 467 203 48 78;36489561247896
clariissa1031@hotmail.com;Clarisa Ojeda Mercanti;Laboulaye oeste  89;1995-10-31;(+57) 466 865 04 65;36489561247897
zoee307@hotmail.com;Enzo Hugo Javier Paez;Laboulaye 7541;2000-01-25;(+57) 464 528 02 45;36489561247898
belenrosales140@gmail.com;Jennifer Belen Rosales;Laboulaye 632;2000-07-04;(+57) 469 737 99 32;36489561247899
ceccottilautaro@gmail.com;Lautaro Ceccotti;Oliva parque 78;2002-05-24;(+57) 463 741 51 32;36489561247900
mirandaeuge00@gmail.com;María Eugenia Miranda Acevedo;Oliva 888;2002-09-07;(+57) 463 741 90 87;36489561247901
victorguajardo010@gmail.com;Victor José Guajardo;Malvinas Argentinas 7854;2001-08-26;(+57) 458 351 47 98;36489561247902
aguariel5@gmail.com;Ariel Agustín Agu Guerreño;Monte Cristo anexo 4456;1998-05-03;(+57) 461 256 28 65;36489561247903
brenlopezjauregui@gmail.com;Brenda Soledad López;Córdoba capital 1236;1993-05-04;(+57) 463 742 02 65;36489561247904
