Tania Yazmin Urquiza;2001-09-17;(+57) 471 728 27 23;Malvinas Argentinas 15;5514236987488560;t4as3ttsiurquiza31@gmail.com
Jenifer Antonela Heredia;20/11/66;(+57) 466 558 67 78;Córdoba 1423;5514236987333560;hers3eds5iajenifer801@gmail.com
Maris José Mondino;03-JUL-2000;(+57) 463 793 09 65;Maltinas 9563;5514236987422260;mar3siajsodsemo5ndino6@gmail.com
Nicolas Bidondo;1997-30-2;(+57) 467 674 23 45;Monte Cristo 44;5514236418741250;nisc3oslasbido4ndo5@gmail.com
Soledad Juarez;15/10/88;(+57) 465 118 88 78;Córdoba cap 5;4222654789652140;jenihesr3esdia53d6@gmail.com
Pablo Moreira;27-06-2000;(+57) 480 699 66 65;Córdoba cap 23;4222654449652140;pabslo3msorei6ra03d.com@gmail.com
Viviana Varela;3/1/78;(+57) 461 270 42 22;Córdoba cap 6985;4222654789666140;vivi235vsd6sarela@gmail.com
Pablo Leguizamon;94/04/14;(+57) 469 997 93 22;Córdoba 2;4222654787772140;legsuizam3od3npabldo0@gmail.com
Joaquin Eloy Oliva;01/01/2000;(+57) 465 061 07 11;Córdoba 36;4222651111652140;joas3c3soliva12@gmail.com
Santiago Maiz;03 MAR 1988;(+57) 469 995 68 45;Colonia Bremen 78;4222654789655550;san3stis2agomaiz@outlook.com
