Braian Troya;1997-08-22;(+57) 472 648 42 12;Cosquín 45;371449635398431;b1raiantroya11@gmail.com
Maria Pía Leonor Alasia Urquiza;2000-11-20;(+57) 459 342 05 56;Montecristo 789;371449635398432;alas1iapia@gmail.com
Dahyana Agú;1999-08-31;(+57) 517 070 99 65;Oliva 663;371449635398433;agudah1yana5@gmail.com
Estela Adriana Lucero;1972-10-28;(+57) 466 568 83 12;Oncativo 12;371449635398434;estelal1ucero411@gmail.com
Milagros Andrea Cuello;2000-01-15;(+57) 464 527 41 12;Salsipuedes 65;371449635398435;milagros1andreacuello@gmail.com
Laura Noemí González;1995-08-22;(+57) 468 463 18 87;Canals 11;371449635398436;laug12663@gmail.com
Carolina Medina;1997-06-19;(+57) 462 249 84 96;Corral de Bustos 20;371449635398437;caromed1ina711@hotmail.com
Nicolas Lavallen;1997-05-02;(+57) 468 878 55 36;Córdoba capital 7895;371449635398438;nicolasla1vallen16@gmail.com
Maximiliano Jose Lizarralde;1983-01-07;(+57) 464 526 22 87;Unquillo 125;371449635398439;maxim1ilianolizarralde@gmail.com
Paola Nerina Urquiza;1977-05-24;(+57) 463 109 31 54;Villa Laboulaye 8963;371449635398440;paol1aurquiza645@gmail.com
Mauricio Fernandez;2003-06-11;(+57) 464 509 07 22;Monte Cristo 7896;371449635398441;mauricio1fernandez907@gmail.com
Augusto Tomás Facundo Rosell;2003-05-26;(+57) 467 191 17 65;Laboulaye centro 457;371449635398442;toto1rosell10@gmail.com
María Belén Ríos;2003-01-08;(+57) 467 203 48 78;Laboulaye este 12;36489561247896;riosbelen3411@gmail.com
Clarisa Ojeda Mercanti;1995-10-31;(+57) 466 865 04 65;Laboulaye oeste  89;36489561247897;clar1iissa1031@hotmail.com
Enzo Hugo Javier Paez;2000-01-25;(+57) 464 528 02 45;Laboulaye 7541;36489561247898;zo1ee307@hotmail.com
Jennifer Belen Rosales;2000-07-04;(+57) 469 737 99 32;Laboulaye 632;36489561247899;belen1rosales140@gmail.com
Lautaro Ceccotti;2002-05-24;(+57) 463 741 51 32;Oliva parque 78;36489561247900;ceccottilau1taro@gmail.com
María Eugenia Miranda Acevedo;2002-09-07;(+57) 463 741 90 87;Oliva 888;36489561247901;mirandae1uge00@gmail.com
Victor José Guajardo;2001-08-26;(+57) 458 351 47 98;Malvinas Argentinas 7854;36489561247902;vict1orguajardo010@gmail.com
Ariel Agustín Agu Guerreño;1998-05-03;(+57) 461 256 28 65;Monte Cristo anexo 4456;36489561247903;ag1uariel5@gmail.com
Brenda Soledad López;1993-05-04;(+57) 463 742 02 65;Córdoba capital 1236;36489561247904;brenlopez1jauregui@gmail.com
Milagros Selene Lucero;1999-04-06;(+57) 465 075 24 32;Montecristo 7895;6011514782536940;lucer1omilagros939@gmail.com
Daniela Alejandra Odetti;1995-03-15;(+57) 459 342 97 89;Montecristo 45;6011514782336940;ode1ttidaniela65@gmail.com
Camila Milagros Moreno;2000-02-27;(+57) 461 288 41 12;Montecristo 65;6011514782536950;cami12402more@gmail.com
Matias Chirino;2004-06-30;(+57) 473 055 19 65;Monte 745;6011514482536940;matiaschi1rino805@gmail.com
Antonella Soledad Quiroga;1993-05-11;(+57) 459 639 47 65;Monte 111;6011514782536970;quir1ogaantonella12@gmail.com
Silvia Veronica Stipp;1977-12-09;(+57) 464 509 52 82;Cristo 1230;6011514782531940;silvia1veronicastipp@gmail.com
Elisa Agustina Luna;1991-04-15;(+57) 466 568 82 65;Malvinas 201;3530412578963240;agusti1naluna005@gmail.com
Celeste Ortiz;1997-05-01;(+57) 465 059 45 45;Monte Cristo 789;3530412571963240;celesteort1iz042@gmail.com
Milagros, Evelyn Barzola;2000-01-15;(+57) 464 507 49 12;Monte Cristo 563;3530412578967240;bar1zolamilagros89@gmail.com
Lucas Alemán;2001-10-17;(+57) 467 082 80 22;Argeninas 653;3530412578963220;alemanlucas550@gmail.com
Fernanda Oyola;2003-09-24;(+57) 465 064 16 66;Monteto 741;3530412678963240;oyolafernanda69@gmail.com
Maximiliano Arrutia;2001-10-09;(+57) 466 568 40 98;Montesto 1456;3530412577963240;arrutia31@gmail.com
Lautaro Mancuso;2001-07-28;(+57) 469 997 18 66;Monte Cristo 36;3530412578964440;lautymancuso018@gmail.com
Rita Rosana Fumero;1973-11-09;(+57) 465 064 77 54;Argentinas 98;5514236987412560;ritafumero9@gmail.com
Paulina Baigorria Alonso;1998-12-29;(+57) 466 560 10 23;Mi Granja 44;5514236987772560;paulinaalonso29@hotmail.com
Tania Yazmin Urquiza;2001-09-17;(+57) 471 728 27 23;Malvinas Argentinas 15;5514236987488560;tattiurquiza31@gmail.com
Jenifer Antonela Heredia;1994-11-24;(+57) 466 558 67 78;Córdoba 1423;5514236987333560;herediajenifer801@gmail.com
Maris José Mondino;1988-07-13;(+57) 463 793 09 65;Maltinas 9563;5514236987422260;mariajosemondino6@gmail.com
Nicolas Bidondo;1997-08-30;(+57) 467 674 23 45;Monte Cristo 44;5514236418741250;nicolasbidondo5@gmail.com
Soledad Juarez;1997-12-15;(+57) 465 118 88 78;Córdoba cap 5;4222654789652140;jeniheredia56@gmail.com
Pablo Moreira;2003-07-28;(+57) 480 699 66 65;Córdoba cap 23;4222654449652140;pablomoreira03.com@gmail.com
Viviana Varela;1967-08-19;(+57) 461 270 42 22;Córdoba cap 6985;4222654789666140;vivi25varela@gmail.com
Pablo Leguizamon;2001-05-24;(+57) 469 997 93 22;Córdoba 2;4222654787772140;leguizamonpablo0@gmail.com
Joaquin Eloy Oliva;2003-09-03;(+57) 465 061 07 11;Córdoba 36;4222651111652140;joacoliva12@gmail.com
Santiago Maiz;2003-12-30;(+57) 469 995 68 45;Colonia Bremen 78;4222654789655550;santiagomaiz@outlook.com
Alejo Bonavia;2003-06-04;(+57) 467 689 22 87;Córdoba 410;4222654765452140;bonaviaalejo@gmail.com
Julio Caicholo;2004-01-16;(+57) 459 331 98 55;Colonia Bremen 10;346544411233695;julicaicholo@hotmail.com
Joaquin Loza;2004-05-27;(+57) 465 055 85 66;Colonia Bremen 963;346544411233696;joaquinloza979@gmail.com
Yamila Ortiz;1994-09-21;(+57) 465 878 50 11;Cordoba 123;346544411233697;a.my14@hotmail.com
Macarena Carballo;2005-10-01;(+57) 468 502 45 23;Córdoba 875;346544411233698;maca.carballo123@gmail.com
Micaela Cufré;2005-07-04;(+57) 472 636 68 44;Colonia Bremen 6;346544411233699;micacufree@gmail.com
Josefina María Caballero Campora;2007-06-27;(+57) 465 070 49 55;Bremen 98;346544411233700;josefinamcaballero1@gmail.com
María Paula Moiso;2005-09-02;(+57) 467 081 80 65;Colonia 745;346544411233701;pm.moiso@gmail.com
Constancia Martínez Paz;2006-04-28;(+57) 468 464 22 65;Colonia Bremen 630;346544411233702;constanciamartinezpaz@gmail.com
Candelaria Ferrero Rey Noes;2005-09-27;(+57) 464 528 64 32;Monsto 203;346544411233703;candeferrero25@gmail.com
Justina Zavaley;2006-05-31;(+57) 469 998 72 32;Matinas 805;346544411233704;justizavaley@gmail.com
Maria Paz Baistrocchi;2006-05-19;(+57) 462 216 83 12;Monto 904;346544411233705;pazbaistrocchi@gmail.com
Abril Bigoglio;2006-05-07;(+57) 463 739 52 12;Masina 1026;346544411233706;abrilbigoglio@gmail.com
Pilar Salcedo;2006-01-10;(+57) 461 264 75 77;Malvinas Argentinas 1100;30478855996622;pilarsalcedo1006@gmail.com
Micaela Ortiz Noseda;2006-05-24;(+57) 463 757 15 75;Monte Cristo 9862;30478855996623;micaelaortiz549@gmail.com
Sol Sierra;2006-01-09;(+57) 460 329 90 45;Monte Cristo 4;30478855996624;sollsierra09@gmail.com
Chloe Sofia Roldan;2006-05-28;(+57) 456 997 74 56;Mi Granja 6;30478855996625;chloeroldan24@gmail.com
Melanie Danisa Barrera Seballes;2005-10-14;(+57) 461 298 31 31;Monte Cristo 7;30478855996626;melabarreraseballes@gmail.com
Luz Argüello;2006-03-13;(+57) 461 299 40 21;Monte Cristo 15;30478855996627;luzarguellofiore1000@gmail.com
Carolina Cobo;2005-07-21;(+57) 464 523 60 13;Monte Cristo 19;30478855996628;carocobo05@gmail.com
Felicitas Ruiz Huidobro;2006-02-24;(+57) 460 327 22 12;Monte Cristo 1078;3528444112200330;felicitasruizhuidobro1@gmail.com
Pilar Rouviere;2005-12-14;(+57) 458 384 81 12;Monte Cristo 90;3528444112270330;pilirouviere@gmail.com
Maria Candelaria Marqués;2006-03-01;(+57) 458 384 98 45;Mi Granja 99;3528444112200340;candemarques0@gmail.com
Catalina Sola;2005-04-27;(+57) 461 298 53 54;Malvinas Argentinas 786;3528444112201130;catasola25demayo@gmail.com
