;; ;;;
María Paloma Bárcena;2005-12-29;(+57) 463 758 07 54;Montecristo 789;371449635398421;mpalomabarcena@gmail.com
Lucia Victoria Gigena;2006-02-02;(+57) 461 298 43 65;Oliva 663;371449635398422;lugigena9@gmail.com
Valentina Pregoni Tacconi;2006-06-26;(+57) 460 369 21 23;Oncativo 12;371449635398433;valenpregoni@gmail.com
Maria Barbatti;2006-05-29;(+57) 460 329 39 21;Salsipuedes 65;371449635398437;mariabarbatticba@gmail.com
Maria Paz Casella;2006-02-23;(+57) 460 369 91 87;Canals 11;371449635398443;pazcasella71@gmail.com
Victoria Gonzalez;2005-12-27;(+57) 460 327 37 87;Corral de Bustos 20;371449635398449;gonzalezruibalvic@gmail.com
Trinidad Nores;2006-01-07;(+57) 463 758 11 98;Córdoba capital 7895;371449635398455;trininores06@gmail.com
Magdalena Concioni Molina;2005-11-11;(+57) 463 757 84 99;Unquillo 125;371449635398461;concionimagui@gmail.com
Lucia Monteoliva Ramos;2006-03-28;(+57) 461 298 33 45 ;Villa Laboulaye 8963;371449635398467;lmonteolivaramos@gmail.com
Guada González Ruibal;2005-01-14;(+57) 460 369 33 65;Monte Cristo 7896;371449635398473;guadaruibalgon@gmail.com
Emilia Zamora;2005-07-22;(+57) 459 367 67 15;Laboulaye centro 457;371449635398479;emiliazamora2207@gmail.com
Luciana Ferrero;2005-06-03;(+57) 461 305 55 45;Laboulaye este 12;371449635398485;luciferrero0306@gmail.com
Ariana Aynelén Fernández;2004-12-15;(+57) 460 369 03 12;Laboulaye oeste  89;371449635398491;ariangioletti150@gmail.com
Ariadna Andrada;2005-04-12;(+57) 449 726 64 12;Laboulaye 7541;371449635398497;ariandrada2005@gmail.com
Ruth Maidana;2005-03-15;(+57) 459 345 64 23;Laboulaye 632;371449635398503;ruthmaidana1514@gmail.com
Milagros Laffatigue;2004-08-08;(+57) 463 059 69 23;Oliva parque 78;36489561247777;milagroslaffatigue3@gmail.com
Brisa Martinez;2005-01-27;(+57) 459 336 79 45;Oliva 888;36489561247999;mbrisa418@gmail.com
Marianela Mancilla;2004-12-09;(+57) 467 698 10 22;Malvinas Argentinas 7854;36489561247666;marianelamancilla318@gmail.com
Victor Mendoza;2005-03-10;(+57) 467 698 16 54;Monte Cristo anexo 4456;36489561247222;victormendoza85137@gmail.com
Alvaro Perez Butler;2005-03-10;(+57) 464 563 79 87;Córdoba capital 1236;36489561247555;alvaroperezbutler98@gmail.com
Emilia Berri;2005-04-20;(+57) 467 698 96 98;Montecristo 7895;36489561247000;emiliaberri1@gmail.com
Brunella Zarate;2004-09-09;(+57) 458 386 34 89;Montecristo 45;6011514788888940;brune.zz1216@gmail.com
Tomas Montiel;2005-03-15;(+57) 460 356 15 65;Montecristo 65;6011514777777940;tomasmontiel69@gmail.com
Ayelen González;2005-01-04;(+57) 467 698 52 87;Monte 745;6011514442536950;ayegonzalez111@gmail.com
