Lucia Monteoliva ;28/3/1008;(+57) 461 298 33 44 ;Villa Laboulaye 89;371449635398466;olivaramos@gmail
Guada González;2000-01-14;(+57) 460 369 33 67;Monteristo 7896;371449635398471;guadaruiba@gmail.com
Emilia Zamora;2005-07-22;(+57) 459 367 67 15;Laboulaye centro 457;371449635398479;emiliazamora2207@gmail.com
Luciana Ferrero;2005-06-03;(+57) 461 305 55 45;Laboulaye este 12;371449635398485;luciferrero0306gmail.com
Aynelén Fernández;2000-12-15;(+57) 460 369 03 11;Laboulaye oeste  890;371449635398488;ariangioletti@gmail.com
Ariadna Andrada;2005-04-12;(+57) 449 726 64 12;Laboulaye 7541;371449635398497;ariandrada2005@gmail.com
Ruth Maidana;2005-03-15;(+57) 459 345 64 23;Laboulaye 632;271449635398503;ruthmaidana1514@gmail.com
Milagros Laffatigue;2004-08-08;(+57) 463 059 69 23;Oliva parque 78;36489561247777;milagroslaffatigue3@gmail.com
Ayelen González;2005-01-04;(+57) 467 698 52 87;Monte 745;6111514442536950;ayegonzalez111@gmail.com
Camila Rocío ;2002-04-14;(+57) 464 563 97 44;Monte 1111;6011514466666900;camilarociotroncoso@gmail.com
Luciana Vázquez;2004-10-12;(+57) 468 903 53 65;Cristo 1230;6011514782222220;lucivazquez2004@gmail.com
Brisa Pérez;2004-09-23;(+57) 413 194 15 65;Malvinas 201;6011514782221140;perez2019494@gmail.con
María Luz Murua;2005-02-12;(+57) 467 698 15 12;Monte Cristo 789;3530412333333240;luchy20051@gmail.com
Delfina Cabral;2003-10-21;(+57) 467 698 50 11;Monte Cristo 563;3530414444443240;delfinacabral2018@gmail.com
Paulina Criado;2005-02-27;(+57) 467 698 39 23;Argeninas 653;3530412888999240;paulinacriado@gnail.com
Alma Olivieri;9/15/2004;(+57) 467 698 56 02;Córdoba 1423;5514236984444560;almaolivieri8@gmail.com
Selene Musaschi;2005-03-10;(+57) 473 194 01 03;Maltinas 9563;5514236981111160;musaschiselene@gmail.com
Rocio Mottura;2005-03-16;(+57) 473 194 30 03 ;Monte Cristo 44;5514266666422260;motturarocio16@gmail.com
Octavio Capotosti;2004-12-20;(+57) 464 563 58 87;Córdoba cap 5;5514236466644250;totoola198@gmail.com
Santino Ripacolli ;2000-08-09;(+57) 467 698 13 66;Córdoba cap 2333;346544411233600;santiripa@gmail.com
Ana Aldeco;2004-09-03;(+57) 473 194 07 00;Córdoba cap 6985;346544411233609;paulaaldeco14@gmail.com
Victoria Gimenez;2000-01-10;(+57) 467 698 82 00;Córdoba 20;346544411233440;gimenezmariavictoria@gmail.com
Fabrizio Jaca;2005-04-04;(+57) 454 843 70 45;Colonia 745;346544411233619;fabriziojaca@gmail.com
Delfina Pistelli;25/8/200;(+57) 467 698 32 20;Colonia Bremen 630;346544411233620;dilfinapistelli@gmail.com
Vicente Bassino;2004-02-05;(+57) 460 356 18 30;Monsto 2036;346544411233622;julianbassino@gmailcom
Francisco Villán;2005-06-30;(+57) 463 118 60 23;Matinas 805;346544411233622;fran679bd@gmail.com
